dataset,task,metric,fold,model,value
evons,disinformation,recall,4,xgboost_mistral,0.9444769140853302
evons,disinformation,auc,4,xgboost_mistral,0.9930525538360653
evons,disinformation,accuracy,5,xgboost_mistral,0.9577820802409379
evons,disinformation,f1,5,xgboost_mistral,0.9535420488844174
evons,disinformation,precision,5,xgboost_mistral,0.9657156557180532
evons,disinformation,recall,5,xgboost_mistral,0.9416715371127995
evons,disinformation,auc,5,xgboost_mistral,0.9923696589729046
evons,disinformation,accuracy,6,xgboost_mistral,0.9586963536624717
evons,disinformation,f1,6,xgboost_mistral,0.9545293072824156
evons,disinformation,precision,6,xgboost_mistral,0.967126574685063
evons,disinformation,recall,6,xgboost_mistral,0.9422559906487434
evons,disinformation,auc,6,xgboost_mistral,0.9935374773625407
evons,disinformation,accuracy,7,xgboost_mistral,0.9581047649779498
evons,disinformation,f1,7,xgboost_mistral,0.9538096649866588
evons,disinformation,precision,7,xgboost_mistral,0.967870036101083
evons,disinformation,recall,7,xgboost_mistral,0.9401519579193454
evons,disinformation,auc,7,xgboost_mistral,0.9934500218289526
evons,disinformation,accuracy,8,xgboost_mistral,0.9596644078735076
evons,disinformation,f1,8,xgboost_mistral,0.9556475458308693
evons,disinformation,precision,8,xgboost_mistral,0.9670855774985039
evons,disinformation,recall,8,xgboost_mistral,0.9444769140853302
evons,disinformation,auc,8,xgboost_mistral,0.993076306903369
evons,disinformation,accuracy,9,xgboost_mistral,0.9593955039259976
evons,disinformation,f1,9,xgboost_mistral,0.955380887654394
evons,disinformation,precision,9,xgboost_mistral,0.9661726033946928
evons,disinformation,recall,9,xgboost_mistral,0.9448275862068966
evons,disinformation,auc,9,xgboost_mistral,0.9937979111156727
evons,disinformation,accuracy,10,xgboost_mistral,0.957459395503926
evons,disinformation,f1,10,xgboost_mistral,0.9531148123999763
evons,disinformation,precision,10,xgboost_mistral,0.9668109668109668
evons,disinformation,recall,10,xgboost_mistral,0.9398012857977791
evons,disinformation,auc,10,xgboost_mistral,0.9931152782348723
evons,virality,accuracy,1,mlp_text,0.9499838657631494
evons,virality,f1,1,mlp_text,0.0
evons,virality,precision,1,mlp_text,0.0
evons,virality,recall,1,mlp_text,0.0
evons,virality,auc,1,mlp_text,0.8225625657433381
evons,virality,accuracy,2,mlp_text,0.9505754544476713
evons,virality,f1,2,mlp_text,0.04171011470281543
evons,virality,precision,2,mlp_text,0.6896551724137931
evons,virality,recall,2,mlp_text,0.021505376344086023
evons,virality,auc,2,mlp_text,0.8207214783485273
evons,virality,accuracy,3,mlp_text,0.9501989889211574
evons,virality,f1,3,mlp_text,0.06464646464646465
evons,virality,precision,3,mlp_text,0.5333333333333333
evons,virality,recall,3,mlp_text,0.034408602150537634
evons,virality,auc,3,mlp_text,0.8231811009817672
evons,virality,accuracy,4,mlp_text,0.9496611810261375
evons,virality,f1,4,mlp_text,0.06772908366533864
evons,virality,precision,4,mlp_text,0.4594594594594595
evons,virality,recall,4,mlp_text,0.03655913978494624
evons,virality,auc,4,mlp_text,0.8198523270706716
evons,virality,accuracy,5,mlp_text,0.9502527697106593
evons,virality,f1,5,mlp_text,0.019088016967126194
evons,virality,precision,5,mlp_text,0.6923076923076923
evons,virality,recall,5,mlp_text,0.00967741935483871
evons,virality,auc,5,mlp_text,0.8388079271856007
evons,virality,accuracy,6,mlp_text,0.9500914273421533
evons,virality,f1,6,mlp_text,0.02109704641350211
evons,virality,precision,6,mlp_text,0.5555555555555556
evons,virality,recall,6,mlp_text,0.010752688172043012
evons,virality,auc,6,mlp_text,0.8376128593969147
evons,virality,accuracy,7,mlp_text,0.9499838657631494
evons,virality,f1,7,mlp_text,0.0
evons,virality,precision,7,mlp_text,0.0
evons,virality,recall,7,mlp_text,0.0
evons,virality,auc,7,mlp_text,0.8298595588378526
evons,virality,accuracy,8,mlp_text,0.9499300849736474
evons,virality,f1,8,mlp_text,0.0
evons,virality,precision,8,mlp_text,0.0
evons,virality,recall,8,mlp_text,0.0
evons,virality,auc,8,mlp_text,0.8283472185698144
evons,virality,accuracy,9,mlp_text,0.9499300849736474
evons,virality,f1,9,mlp_text,0.0021436227224008574
evons,virality,precision,9,mlp_text,0.3333333333333333
evons,virality,recall,9,mlp_text,0.001075268817204301
evons,virality,auc,9,mlp_text,0.8214497380006234
evons,virality,accuracy,10,mlp_text,0.9500914273421533
evons,virality,f1,10,mlp_text,0.004291845493562232
evons,virality,precision,10,mlp_text,1.0
evons,virality,recall,10,mlp_text,0.002150537634408602
evons,virality,auc,10,mlp_text,0.8381041995383356
evons,virality,accuracy,1,mlp_source,0.9513283855006992
evons,virality,f1,1,mlp_source,0.0698869475847893
evons,virality,precision,1,mlp_source,0.7906976744186046
evons,virality,recall,1,mlp_source,0.03655913978494624
evons,virality,auc,1,mlp_source,0.863932139483014
evons,virality,accuracy,2,mlp_source,0.9504678928686673
evons,virality,f1,2,mlp_source,0.025396825396825397
evons,virality,precision,2,mlp_source,0.8
evons,virality,recall,2,mlp_source,0.012903225806451613
evons,virality,auc,2,mlp_source,0.8667158828599812
evons,virality,accuracy,3,mlp_source,0.9505754544476713
evons,virality,f1,3,mlp_source,0.05549845837615622
evons,virality,precision,3,mlp_source,0.627906976744186
evons,virality,recall,3,mlp_source,0.02903225806451613
evons,virality,auc,3,mlp_source,0.8694050288783698
