dataset,task,metric,model_a,model_b,n_folds,n_repeats,n_signflip_units,mean_diff,ci_low,ci_high,effect_size,p_value,min_possible_p,p_value_holm,holm_threshold_005,holm_feasible_005,min_folds_for_holm_005,significant_holm_005
evons,disinformation,f1,mlp_bert,xgboost_bert,5,1,5,0.013334195298425255,0.01224436329633063,0.014697769696883212,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,mlp_bert,xgboost_mistral,5,1,5,0.027946228031288677,0.02707256541751748,0.028895954242102496,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,mlp_mistral,rf_bert,5,1,5,0.043520633869929125,0.03922581853275899,0.04613161969206492,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,mlp_mistral,rf_mistral,5,1,5,0.06578484187372005,0.06360063008578225,0.0676626028181534,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,mlp_mistral,xgboost_bert,5,1,5,0.017752923466931712,0.015843030280628854,0.019339899200033962,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,mlp_mistral,xgboost_mistral,5,1,5,0.03236495619979514,0.030575733534176842,0.033697237973222285,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,rf_bert,rf_mistral,5,1,5,0.02226420800379092,0.01967982706765139,0.024786994710946985,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,rf_bert,xgboost_bert,5,1,5,-0.025767710402997412,-0.027531380884452283,-0.02330634820409161,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,rf_bert,xgboost_mistral,5,1,5,-0.01115567767013399,-0.012681056495380294,-0.008577098230462665,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,rf_mistral,xgboost_bert,5,1,5,-0.04803191840678833,-0.04989081260006887,-0.04615168595585166,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,rf_mistral,xgboost_mistral,5,1,5,-0.03341988567392491,-0.03470954488278173,-0.031997528084914385,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,f1,xgboost_bert,xgboost_mistral,5,1,5,0.014612032732863423,0.013661714302471716,0.015706318616033464,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_bert,logreg_mistral,5,1,5,-0.0035071805418242395,-0.005302071766290495,-0.0018807342661350645,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_bert,mlp_bert,5,1,5,-0.011319306471228696,-0.016037205376270913,-0.006601407566186479,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_bert,mlp_mistral,5,1,5,-0.015631889145115995,-0.019548536714801147,-0.011848903569161795,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_bert,rf_bert,5,1,5,0.021431085361824965,0.019812584553318247,0.023896007063974833,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_bert,rf_mistral,5,1,5,0.012071296929342723,0.0092169771531869,0.01477732994222647,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_bert,xgboost_bert,5,1,5,-0.0003384718660150998,-0.002402662414349965,0.0016954498996357259,0.12,0.875,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_bert,xgboost_mistral,5,1,5,0.007365426256586494,0.00500824127311088,0.009444750736533525,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_mistral,mlp_bert,5,1,5,-0.007812125929404457,-0.01254853917276073,-0.0035039757484112144,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_mistral,mlp_mistral,5,1,5,-0.012124708603291756,-0.01732007192709284,-0.0076676007839900475,-1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_mistral,rf_bert,5,1,5,0.024938265903649205,0.022741981059152684,0.02694076374220451,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_mistral,rf_mistral,5,1,5,0.015578477471166963,0.014266561084223505,0.017007224199665605,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_mistral,xgboost_bert,5,1,5,0.0031687086758091397,0.0025953736881637822,0.0038570544162084054,0.92,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,logreg_mistral,xgboost_mistral,5,1,5,0.010872606798410733,0.00975838470038315,0.011986828896438317,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,mlp_bert,mlp_mistral,5,1,5,-0.0043125826738873,-0.00908410166449991,0.00022000241814945642,-0.52,0.1875,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,mlp_bert,rf_bert,5,1,5,0.03275039183305366,0.02911825161982331,0.036382532046284013,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,mlp_bert,rf_mistral,5,1,5,0.02339060340057142,0.02020998023141445,0.027135505678673,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,mlp_bert,xgboost_bert,5,1,5,0.010980834605213596,0.0067930659786481495,0.015403323464867702,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,mlp_bert,xgboost_mistral,5,1,5,0.01868473272781519,0.015237469922787206,0.022976481862195208,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,mlp_mistral,rf_bert,5,1,5,0.03706297450694096,0.03281238950312844,0.04131355951075348,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
evons,disinformation,precision,mlp_mistral,rf_mistral,5,1,5,0.027703186074458718,0.022786972768296797,0.03261939938062064,1.0,0.0625,0.03125,1.0,0.0017857142857142859,False,10,False
